iter	Logloss
0	0.6023811524
1	0.5265102384
2	0.4582057444
3	0.4078802502
4	0.3663894301
5	0.3380812331
6	0.3062617821
7	0.2808256666
8	0.2629908025
9	0.2488677235
10	0.2345434205
11	0.220615385
12	0.2103998255
13	0.1996725562
14	0.1925799268
15	0.183638877
16	0.1749310989
17	0.1701423235
18	0.163761207
19	0.1568907478
20	0.1522012828
21	0.1466213913
22	0.1415581582
23	0.1380064833
24	0.1355227533
25	0.1322644729
26	0.1294502692
27	0.1269357979
28	0.1246708466
29	0.1217992956
30	0.1199127115
31	0.1177005674
32	0.1150087718
33	0.1131215986
34	0.1113999427
35	0.1090914882
36	0.1077312091
37	0.1062277554
38	0.1050444622
39	0.1037221954
40	0.1025804433
41	0.1009650285
42	0.0992818407
43	0.09783529314
44	0.0966518782
45	0.09535556318
46	0.09416066929
47	0.09338298382
48	0.09316727876
49	0.09190355444
50	0.09077288189
51	0.08981744013
52	0.08835501363
53	0.08749854401
54	0.08669219081
55	0.08601727943
56	0.08518501853
57	0.08454757943
58	0.08378469722
59	0.08292081187
60	0.08208953735
61	0.08145503933
62	0.08070357569
63	0.07987846438
64	0.07940983229
65	0.07896332348
66	0.07798201067
67	0.07746109532
68	0.0767088453
69	0.0761245532
70	0.07552988614
71	0.07507793437
72	0.07466891141
73	0.07403853646
74	0.07368728071
75	0.07330403742
76	0.07273561761
77	0.07225785885
78	0.07158607302
79	0.0707318644
80	0.07043292659
81	0.07003282625
82	0.06965682887
83	0.06933416735
84	0.06899310362
85	0.06863558798
86	0.06826365077
87	0.06783062324
88	0.06720630332
89	0.06674882978
90	0.06606719308
91	0.06576880704
92	0.0654556634
93	0.06518108166
94	0.06477471999
95	0.06447607222
96	0.06410748608
97	0.06381858125
98	0.06380086541
99	0.0635995067
100	0.06339180202
101	0.06316188654
102	0.06289980599
103	0.06254368159
104	0.06230219812
105	0.06205750868
106	0.06150107198
107	0.06116010672
108	0.06068986289
109	0.06036241135
110	0.05988038685
111	0.05935683187
112	0.05905122516
113	0.05870043259
114	0.05830194516
115	0.05828892086
116	0.05806782422
117	0.057811634
118	0.05759718163
119	0.05752081734
120	0.05724635141
121	0.05692249291
122	0.0566854919
123	0.056409349
124	0.05616909738
125	0.0559210541
126	0.05558245659
127	0.05516261742
128	0.05513937091
129	0.05496682379
130	0.05466824582
131	0.05447952523
132	0.05408371059
133	0.05388792037
134	0.05365468653
135	0.05346449409
136	0.05331664564
137	0.05318422778
138	0.05308878864
139	0.05287942856
140	0.05267470908
141	0.05262441439
142	0.05245923475
143	0.05220102082
144	0.05207566845
145	0.0520714443
146	0.05183837354
147	0.05161404255
148	0.05148059418
149	0.05129778891
150	0.05107042662
151	0.05088416794
152	0.05077340982
153	0.05069452512
154	0.05051432964
155	0.05030124031
156	0.05011299377
157	0.05000550791
158	0.04990700254
159	0.04972994402
160	0.0497011548
161	0.04954085081
162	0.04935635778
163	0.04910451525
164	0.04888305993
165	0.04878269725
166	0.04874562867
167	0.04847461418
168	0.04838120216
169	0.04829408778
170	0.04821080525
171	0.04799716127
172	0.04783163579
173	0.04751901337
174	0.04738822252
175	0.0471922101
176	0.04705670658
177	0.04675512483
178	0.04638048096
179	0.04637259972
180	0.04620077346
181	0.04600473112
182	0.04572050743
183	0.04557574588
184	0.0454653637
185	0.04537721585
186	0.04527346293
187	0.04514142351
188	0.04494930441
189	0.04480303904
190	0.04464478724
191	0.04455073558
192	0.0444473417
193	0.04414799534
194	0.04395668588
195	0.04366822923
196	0.04350371655
197	0.04330906671
198	0.04316711237
199	0.04300410055
200	0.04291574084
201	0.04284854777
202	0.04265244568
203	0.04254033648
204	0.04238685619
205	0.04229283643
206	0.04219805985
207	0.04209152229
208	0.04200518798
209	0.04193599017
210	0.04175691145
211	0.04159999087
212	0.04153066079
213	0.04132345057
214	0.04124126826
215	0.04115201031
216	0.04106682448
217	0.04096089277
218	0.04085428036
219	0.04078904424
220	0.04069292646
221	0.04062629541
222	0.04055640952
223	0.04042313735
224	0.04026908229
225	0.04017137596
226	0.04010809418
227	0.04000985728
228	0.03992168625
229	0.03982020224
230	0.03975484851
231	0.03961435954
232	0.03956040919
233	0.03945617207
234	0.0393928211
235	0.03933773612
236	0.03924923292
237	0.03918210059
238	0.03904926644
239	0.03898473268
240	0.03884411119
241	0.03877948255
242	0.03872455184
243	0.03866816151
244	0.03860231512
245	0.03855518237
246	0.03850231167
247	0.03845361444
248	0.03831947611
249	0.03819440991
